# Bronlijst uit "Complete Gids Natuur- en Wandelgebieden in Nederland"
# formaat: groep|nr|naam|paginanummer
25|5|Wûnseradiel|433
26|1|De Waddenzee, Staatsnatuurreservaat|410
26|2|Bildtpollen|128
26|3|De Flieterpen|179
26|4|De Noardwesthoeke|305
26|5|Dekema-State|154
26|6|De Trijnwâlden|388
26|7|Grikelân en Turkije|197
26|8|Heemstra State|209
26|9|Grutte Wielen|202
26|10|Bûtefjild|149
26|11|Dobben Tytsjerksteradiel|159
26|12|Lytse Geast|280
26|13|De Meerpolders|287
26|14|Fônejacht|180
26|15|Alde Feanen|105
26|16|Lionserpolder|277
26|17|Skrok|365
26|18|Skrins|365
27|1|Lauwersmeer, Staatsnatuurmonument|268
27|2|Zoutkamp|438
27|3|Rinsma State|346
27|4|De Dokkumer Wâlden|159
27|5|De Kollumerwâlden|250
27|6|It Reidfjild|342
27|7|Fogelsangh-State|180
27|8|De Mieden|292
27|9|Westerhornerpolder|421
27|10|Noorderland|306
27|11|De Mieden|292
27|12|De Bevervallei|126
27|13|Doezumermieden en Polder de Kaleweg|159
27|14|De Marren|285
27|15|Poelen Opende|333
27|16|Trimunt en Jilt Dijksheide|388
27|17|De Haar|204
27|18|Coendersborg|151
27|19|Iwema Steenhuis|235
27|20|Nanninga's Bos en Bolmeer|298
28|1|Allersmaborg|106
28|2|Reitdiepdal|342
28|3|Bedum-Onderdendam|118
28|4|Stedum-Loppersum landschapselementen|376
28|5|Ekenstein|172
28|6|Hoeksmeer|218
28|7|Ten Boer|132
28|8|Harkstederbroeklanden|208
28|9|De Ae's|104
28|10|Kolham-Slochteren landschapselementen|249
28|11|De Drie Polders|164
28|12|Oeverlanden Leekstermeer|312
28|13|Leekstermeer|269
28|14|Nienoord|303
28|15|Maatlanden|281
28|16|Mensinge|290
28|17|Bunnerveen|147
28|18|Kleibos|245
28|19|Peizer- en Eeldermaden|330
28|20|Peizermaden|330
28|21|Paterswoldsemeer|329
28|22|Elsburger Onland|173
28|23|Kluivingsbos|248
28|24|De Braak|142
28|25|Vennebroek|398
28|26|Friese Veen|183
28|27|Polder het Oosterland|334
28|28|De Duinen|164
28|29|Vosbergen|406
28|30|Polder Lappenvoort|334
28|31|Scharlakenbos|355
28|32|'t Hemrik|213
28|33|Drentsche A|163
28|34|Klein Bollenbult|246
28|35|Appelbergen|112
28|36|De Poll|335
28|37|Noordlaarderbos|307
28|38|Midlaarderbos|292
28|39|Westerbroek|420
28|40|Westerbroek|419
28|41|Rietland westzijde Foxholstermeer|345
28|42|Zuidlaardermeergebied|440
28|43|Harense Wildernis|207
28|44|Recreatiegebied Meerwijck|340
28|45|Gorechtpark en Drevenbos|192
29|1|Tuikwerderrak|388
29|2|Meedhuizen landschapselementen|287
29|3|Huisweersterpolder|230
29|4|Schildmeer|358
29|5|Slochteren landschapselementen|366
29|6|Fraeylemaborg|183
29|7|Baggerputten|115
29|8|Korengarst|253
29|9|Wagenborgen|410
29|10|Hondshalstermeer|223
29|11|Nieuwolderbos|304
29|12|Woldendorp|431
29|13|Dollard|160
29|14|Kolken Oude Geut|249
29|15|Oosterbroek landschapselementen|317
29|16|Spoordijk|373
29|17|Winschoterdiep|429
29|18|Scheemda landschapselementen|356
29|19|De Wiede|422
29|20|Meeden landschapselementen|287
29|21|Lagemeeden|262
29|22|Scheemdermeer|356
29|23|Ennemaborg|176
29|24|Meerland|287
29|25|Goldhoorn|191
29|26|Beerta-Finsterwolde landschapselementen|119
29|27|Tjamme|386
29|28|Oostereinde landschapselementen|317
29|29|Winschoten|429
29|30|Westerwoldsche A Noord|421
29|31|Boele Tijdenskanaal|132
30|1|Duinen Texel|164
30|2|Lage Land van Texel|262
30|3|Grafelijkheidsduinen|193
30|4|De Donkere Duinen|161
30|5|De Duinstrook|166
31|1|Duinen Texel|164
31|2|Lage Land van Texel|262
31|3|Korverskooi|254
31|4|Waal en Burgerdijk|408
31|5|Noorderkooi|306
31|6|Hoge Berg|219
31|7|Ceres|150
31|8|De Schorren|360
31|9|De Waddenzee, Staatsnatuurreservaat|410
31|10|Balgzand|116
31|11|Wieringen|425
31|12|Wierdijk en Voorboezem|424
31|13|Robbenoordbos en Dijkgatsbos|346
32|1|De Waddenzee, Staatsnatuurreservaat|410
32|2|Makkumer- en Koaiwaard|282
32|3|Filenspolder|178
32|4|Buismans Einekoai|147
32|5|Westergoa's Iselmardiken|420
32|6|Warkumerwaard|412
32|7|Wûnseradiel|433
32|8|Blauhúster Puollen|129
32|9|Bocht fan Molkwar|131
32|10|It Nylan|310
32|11|De Fluessen|179
32|12|De Fluezen|179
32|13|Koudumerboskje|255
32|14|It Swin|382
32|15|Gaasterland|185
33|1|Jongema-State|236
33|2|Sorremorre|370
33|3|Botmar|140
33|4|It Eilân en de Burd|172
33|5|It Unlân fan Jelsma en It Kobbelân|391
33|6|Alde Feanen|105
33|7|Petgatten de Feanhoop, Noarderkrite, Kraanlannen, Oskekop|330
33|8|Lytse Marren|280
33|9|Gouden Boaiem|192
33|10|Wite en Swarte Brekken|429
33|11|Snitsermar|369
33|12|Hearesyl|209
33|13|Terkaplesterpuollen|383
33|14|De Deelen|154
33|15|It Skar en Terbant|365
33|16|Terdoelstersypen|384
33|17|Eysinga-State|178
33|18|Wilhelmina-oard|427
33|19|Tjûkemar|386
33|20|Haskerlân|208
33|21|Easterskar|168
33|22|Rotstergaast|348
33|23|Taconisbosk|382
33|24|Oranjestein|321
34|1|Boornbergum|134
34|2|Skiedingsboskje|365
34|3|De Deelen|154
34|4|Bossen van de Cornelia Stichting|138
34|5|Hemsterbossen|213
34|6|Achterbos en Bovenveld|103
34|7|Huize Olterterp|230
34|8|Wallebossen|411
34|9|Olterterp-Lauswolt|314
34|10|Van Oordt's Mersken|316
34|11|Tolhekbos|386
34|12|Liphústerheide|277
34|13|Langezwaag|267
34|14|De Scharren|355
34|15|Stokersdobbe|379
34|16|Bakkeveen|116
34|17|Bakkeveen|115
34|18|Allardsoog|106
34|19|Gemeentebos Leek|187
34|20|Kapellepôle|240
34|21|Jubbega|236
34|22|Haule|208
34|23|Marke van Een|284
34|24|Norg|308
34|25|Haulerpolder|208
34|26|Oosterwolde|318
34|27|Fochteloërveen|179
34|28|Tsjongerwâlen|388
34|29|Oranjewoud|321
34|30|Marijkemuaidobbe|284
34|31|Nieuwehorne|304
34|32|Ketliker Skar, Ketliker Heide en Tsjongerdellen|245
34|33|Meulebos|291
34|34|Nijeholtpade|304
34|35|Lendevallei|272
34|36|De Hoeve|219
34|37|Jeudse Karkhof Noordwoolde|235
34|38|Delleboersterheide en Catspoele|155
34|39|Diakonieveene|157
34|40|Twijtel|389
34|41|Boschhoeve|136
34|42|Zandhuizen|435
34|43|Schoapedobbe|358
34|44|Appelscha|112
34|45|Boschoord, Wilhelminaoord en Frederiksoord|136
34|46|Doldersummerveld|159
34|47|Berkenheuvel|124
34|48|Smilde|367
35|1|Zuursche Duinen|441
35|2|Steenbergerveld|376
35|3|Oostervoortse Diep|318
35|4|Donderse Veld|161
35|5|Bongeveen|134
35|6|Esveentjes Donderen|177
35|7|Hondstongen|223
35|8|Het Hoogeveen|225
35|9|Agedaterrein|104
35|10|Molenveen|295
35|11|Schillenveen|358
35|12|Roeghoorn|346
35|13|Langeloërdunen|267
35|14|Noordsche Veld|308
35|15|Norger Esdorpen-landschap|309
35|16|Norg|308
35|17|Fochteloërveen|179
35|18|De Twintig Bunders|389
35|19|Huis ter Heide|229
35|20|Heukersbos|215
35|21|Smeerveen|367
35|22|Zeijerstrubben|436
35|23|De Holten|222
35|24|Heideheim|211
35|25|Groote Veld|201
35|26|Slotveen|367
35|27|Vijftig Bunder|400
35|28|Dennenbos|156
35|29|Laarwoud|261
35|30|Oudemolen|325
35|31|Van Weringsbos|418
35|32|Hunzedal|231
35|33|Schipborg|358
35|34|Gasterse Duinen|186
35|35|Drentsche A|163
35|36|Evertsbos en Pinetum ter Borgh|177
35|37|Anloo|110
35|38|Ter Borghbos|134
35|39|Hondsrug Noord|223
35|40|Zwanemeer|442
35|41|Balloërveld|116
35|42|Kampsheide|239
35|43|Overcingel|326
35|44|'t Ruige Veld|350
35|45|Gemeentebos Rolde|187
35|46|Boerbos|132
35|47|Amerdiep en Geelbroek|108
35|48|Papenvoort|329
35|49|Maria Hoeve|284
35|50|Gieten|190
35|51|Sekmeer|362
35|52|Hondsrug Midden|223
35|53|Borger|134
35|54|Meindersveen|289
35|55|Appelscha|112
35|56|Kyllotsbos|260
35|57|Hijkersmilde|216
35|58|Kortewegsbos Diependal|254
35|59|Hijkerveld|216
35|60|Smilder Oosterveld|368
35|61|Hijken|216
35|62|Groote en Witte Zand|199
35|63|Oosthalen|318
35|64|Hiemstrastate|216
35|65|Hooghalen|225
35|66|Grolloo|198
35|67|Schoonloo|359
35|68|Elper Westerveld|173
36|1|Polder Nieuwe Compagnie|334
36|2|Blijhamsterbos|130
36|3|Westerwoldsche A Zuid|421
36|4|Bouten|141
36|5|Hoetmansmeer|219
36|6|Veenkoloniën|394
36|7|Boerendiep|132
36|8|De Broeklanden|144
36|9|Pagebos|327
36|10|Vledderveen|402
36|11|Vledderhuizen landschapselementen|402
36|12|Onstwedde|315
36|13|Vlagtwedde landschapselementen|401
36|14|Dal van de Ruiten A|153
36|15|De Schans Bourtange|355
36|16|Drouwenerzand|164
36|17|Hondsrug Zuid|223
36|18|Boswachterij Odoorn|139
36|19|Veenstreek|394
36|20|Braamberg|142
36|21|Sellinger Bossen|363
36|22|Bourtangerveen|141
36|23|Ter Apel|111
37|1|Nollenland bij Abbestede|306
37|2|Kooibosch Luttickduin|252
37|3|Zwanenwater|442
37|4|Het Wildrijk|427
37|5|Pettemerduinen|331
37|6|Wielen Westfriese Zeedijk|424
37|7|Abtskolk en Hazepolder|103
37|8|De Putten|336
37|9|Schoorlse Duinen|359
37|10|Bosjes van Verwey|137
37|11|Weitje van Pietje|417
37|12|Proeftuin Geestmerambacht|336
37|13|Noordhollands Duinreservaat|307
37|14|Bergerbos|123
37|15|'t Oude Hof en Maesdammerhof|323
38|1|Balgzand|116
38|2|Amstelmeer|108
38|3|Robbenoordbos en Dijkgatsbos|346
38|4|Eendenkooi 't Zand|170
38|5|De Pikster|331
38|6|Eendenkooi De Hoop|169
38|7|Schagerwad en Weerepolder|354
38|8|Benedenkolk|121
38|9|Waardkanaal|409
38|10|Wandelpad Woudmeer|412
38|11|Drasse Dijkvoet Slootgaardpolder|163
38|12|Boomerwaal|134
38|13|De Weelpolder|414
38|14|Kadetjesland Twisk|237
38|15|Groote Vliet|201
38|16|Kleimeer|246
38|17|Oosterdel|317
38|18|Obdammerweel|311
38|19|Lage Hoek|262
38|20|'t Laag|261
38|21|Polder Westerveer|335
38|22|Benningbroek|121
39|1|Bocht fan Molkwar|131
39|2|Sûdermarpolder|381
39|3|Dijksfeart|158
39|4|Mokkebank|293
39|5|Rysterbosk en Murnzerklif|351
39|6|Gaasterland|185
39|7|Oudemirdumerklif|325
39|8|Steile Bank|377
39|9|Onderdijken|315
39|10|De Weelen|414
39|11|De Ven|397
40|1|Gaasterland|185
40|2|Wikelerbosk|426
40|3|Boomkamp|134
40|4|Wikkeler Ywert en Sleattemermar|426
40|5|Joadetsjerkhof Teakesyl|236
40|6|Bancopolder|116
40|7|Huitebuersterbûtenpolder|230
40|8|Steile Bank|377
40|9|Grutte Brekken|202
40|10|Tjûkemar-West|386
40|11|Brandemeer|143
40|12|Ychtenerfeanpolder|433
40|13|Rottige Meente|349
40|14|Sonnega|370
40|15|Lendevallei|272
40|16|Kuinderbos|259
40|17|De Weerribben, Nationaal Park|415
40|18|Kolken Zuiderzeedijk|250
40|19|Rotterdamse Hoek|349
40|20|Wegbeplanting A6|416
40|21|Casteleijnsplas|150
40|22|Emmelerbos|174
40|23|Urkerbos|391
40|24|Staartreservaat Urk|374
40|25|Tollebekerbos|386
40|26|Voorsterbos|405
41|1|Lendevallei|272
41|2|De Weerribben, Nationaal Park|415
41|3|Braambos|142
41|4|Krolsbergen|257
41|5|Paasloo-Kerkbuurt landschapselementen|327
41|6|Paaslo|327
41|7|De Blesse|130
41|8|Steenwijkerwold|377
41|9|Fredeshiem|183
41|10|Heerlijkheid De Eese|210
41|11|Vledder|401
41|12|Nijenslekerveld|305
41|13|Noordwolde|308
41|14|Boschoord, Wilhelminaoord en Frederiksoord|136
41|15|Wapserveen|412
41|16|Boswachterij Vledderveld|140
41|17|De Vledderhof|401
41|18|Bouwersveld|141
41|19|Koelingsveld|249
41|20|Vledder Aa|401
41|21|Wapse|412
41|22|Berkenheuvel|124
41|23|Smilde|367
41|24|Berkenheuvel|125
41|25|Hezenesch|216
41|26|Diever|157
41|27|De Wieden|423
41|28|Den Oldenhof|314
41|29|Hoge Land van Vollenhove|220
41|30|Bovenwiede|141
41|31|Meppelerdieplanden|290
41|32|Meppelerdiep|290
41|33|Nijeveen|305
41|34|Havelte-West|209
41|35|Havelte|209
41|36|Havelte-Oost|209
41|37|Holtingerveld|222
41|38|Ooster- en Westerzand|317
41|39|Voormalige Startbaan en Waterbolkpark|403
41|40|Overcinge|326
41|41|Meeuwenveen en Konijnenbergen|287
41|42|Uffelter Binnenveld|390
41|43|Uffelterzand|390
41|44|Wittelterveld|430
41|45|Wittelte|430
41|46|Rostwyck|348
41|47|Broekenlaar|144
41|48|Oldengaerde|314
41|49|Nieuwe Bork-Stroovledder|303
41|50|De Oude Bork|323
41|51|Dwingelderveld, Nationaal Park|167
41|52|Witteveen|431
41|53|Rheebruggen|344
41|54|Zure Venen|441
41|55|Berghuizen|123
41|56|Ruinerwold|351
41|57|Boswachterij Ruinen|140
41|58|De Reest|341
41|59|Dickninge|157
42|1|Leggelderveid|271
42|2|Dwingeloo-Smalbroek|168
42|3|Dwingelderveld, Nationaal Park|167
42|4|Terhorst|383
42|5|Baarwelsleek|115
42|6|Makkum-Holthe|282
42|7|Vossenberg|406
42|8|Scharreveld|355
42|9|Bos Beilerstraat|135
42|10|Zwiggelte-Westerbork|443
42|11|Padenbos|327
42|12|Orvelte|321
42|13|Elp|173
42|14|Orvelterzand|322
42|15|Schoonloo|359
42|16|Korte Maten|254
42|17|Nuiierveld|309
42|18|Boswachterij Ruinen|140
42|19|Gijsselte|190
42|20|Boerveense Plassen|133
42|21|Stuifzand|381
42|22|Kremboong|257
42|23|Drijber|164
42|24|Mantingerveld|283
42|25|Mantingerbos en -weiden|283
42|26|Broekstreek|144
42|27|Witteveen|431
42|28|Sniphorsten|368
42|29|Wezup|422
42|30|Boswachterij Sleenerzand|140
42|31|Boswachterij Gees|139
42|32|Mepperdennen|291
42|33|De Palmen|328
42|34|Geeserstroom|186
42|35|De Stroeten|381
42|36|De Klencke|247
42|37|Broeklanden|144
42|38|Lage Veen|262
42|39|Falieberg|178
42|40|Steenberger Oosterveld|376
42|41|Bosgebied Hollandscheveld|137
42|42|Beukerswijk|125
42|43|Hollandsche Veld|222
42|44|Geeslo|186
42|45|Jufferswijk|236
42|46|Toldijk-Bolmerd|386
42|47|Wachtum|409
42|48|De Witten|430
42|49|Dalerpeel|153
43|1|Boswachterij Odoorn|139
43|2|Bosch en Heide|136
43|3|Roswinkel|348
43|4|Boswachterij Sleenerzand|140
43|5|Sleenerstroom|366
43|6|Boschmaden en De Blikken|136
43|7|Lutkeland|280
43|8|Schietbaanbosje|357
43|9|Emmerdennen en Valtherbos|174
43|10|Noordbargerbos|306
43|11|Oosterbos en Emmerschans|317
43|12|Berkenrode|125
43|13|Ermerzand|177
43|14|Erm|176
43|15|Ermerveen|177
43|16|Dalen|153
43|17|Rigterinkbos|345
43|18|Dalerveen|153
43|19|Schoonebeek|359
43|20|Bargerveen|117
44|1|Noordhollands Duinreservaat|307
44|2|Damlanderpolder|154
44|3|Loterijlanden|279
44|4|Nijenburg|304
44|5|Ter Coulster|152
44|6|Zeerijdtsdijkje|436
44|7|Het Die|157
44|8|Limmerveentje|276
44|9|Eendenkooi bij Uitgeest|169
44|10|Wandelpad Dorregeesterpolder|412
44|11|Alkmaardermeer|106
44|12|Marquette en Huldtoneel|285
44|13|Weijenbus en Vroonmeer|417
44|14|Fort Krommeniedijk|181
44|15|Ham en Crommenije|206
44|16|Westerhout|421
44|17|Lunetten|280
44|18|Fort Veldhuis|182
44|19|Liniedijken|277
44|20|Fort St. Aagtendijk|182
44|21|Wijkeroogpark|425
44|22|Zuid-Kennemerland, Nationaal Park|439
44|23|Velserbeek|396
44|24|Schoonenberg, Hoogergeest en Lievendaal|359
44|25|Beeckestijn|118
44|26|Kennemergaarde|244
44|27|Fort Zuidwijkermeer|182
44|28|Spaarnwoude|371
45|1|Waarderhout|409
45|2|Westbeverkoog|418
45|3|Mijzenpolder|292
45|4|De Hulk|230
45|5|Uiterdijken|390
45|6|Kogen|249
45|7|Eilandspolder|172
45|8|Westelijke Eilandspolder|419
45|9|Zeevang|436
45|10|Westwouderpolder|422
45|11|Fort Marken Binnen|182
45|12|Krommenieërwoudpolder|257
45|13|Fort bij Spijkerboor|181
45|14|Fort aan de Jisperweg|180
45|15|Fort aan de Middenweg|180
45|16|Kwadijkker Vlot|260
45|17|Fort Edam|181
45|18|Wormer- en Jisperveld|432
45|19|Purmerbos|336
45|20|Rietland Katwoude|345
45|21|Heitje van Katham|212
45|22|Noorderveen|306
45|23|Guisveld|203
45|24|Kalverpolder|238
45|25|De Reef en Westzijderveld|340
45|26|Oostzanerveld|320
45|27|Recreatiegebied Het Twiske|340
45|28|Ilperveld|233
45|29|Varkensland|393
45|30|Waterland Oost|414
46|1|Westfriesland|421
46|2|Zuigerplasbos|441
46|3|'t Zand A72|434
46|4|Visvijverbos|401
46|5|Rivierduingebied Lelystad|346
46|6|Overijsselse Hout|326
46|7|Gelderse Hout|187
46|8|Natuurpark Lelystad|299
46|9|Oostvaardersplassen|318
46|10|Hollandse Hout|222
46|11|Burchtkamp|148
46|12|De Knar landschapselementen|248
46|13|Larservaartbos|268
47|1|Toppad Urk|387
47|2|Schokland en Schokkerbos|358
47|3|Voorsterbos|405
47|4|Kamperhoek en Ketelbos|238
47|5|Rivierduingebied Dronten|346
47|6|Observatorium Robert Morris|311
47|7|Swifterbos|382
47|8|Dorpsbossen Swifterbant|162
47|9|Roggebotzand|347
47|10|Lage Vaartbos|262
47|11|Wisentbos|429
47|12|Dorpsbossen Dronten|162
47|13|Reve-Abbert|344
47|14|Oosterwolde|318
47|15|De Enk|176
47|16|Zalk-Wilsum|434
47|17|Larserbos|268
47|18|Biddingbos|126
47|19|Dorpsbossen Biddinghuizen|162
47|20|Flevoland landschapselementen|178
47|21|Spijk en Bremerberg|372
47|22|Greppelveld|195
48|1|Voorsterbos|405
48|2|De Zandkoele|435
48|3|De Wieden|423
48|4|Vogeleiland|403
48|5|Zwarte Meer|443
48|6|Mastenbroek landschapselementen|286
48|7|Oldematen|312
48|8|Uiterwaarden Zwarte Water|390
48|9|Veerslootslanden|394
48|10|Staphorst|375
48|11|De Reest|341
48|12|Reestdal|341
48|13|Jutjesriet|237
48|14|Stadsgaten Hasselt|375
48|15|Holtenerbroek|222
48|16|Oeverlanden langs de Vecht|311
48|17|Buitenlanden Langenholte|147
48|18|Westerveldse Bos|421
48|19|'s-Heerenbroek landschapselementen|210
48|20|Zalkerbos|434
48|21|Vreugderijkerwaard|407
48|22|Het Engelse Werk|175
48|23|Engelse Werk en Spoolderbos|175
48|24|Agnietenberg, Schrevenbos en Eierbelten|104
48|25|De Kranenburg|256
48|26|De Helmhorst|213
48|27|Boschwijk|136
48|28|De Horte|227
48|29|Mataram|286
48|30|De Leemcule|269
48|31|Den Aalshorst|102
48|32|Den Berg|122
48|33|Rechterense Veld|339
48|34|Plaggemars|331
48|35|Hessum|215
48|36|Vilsteren|400
48|37|De Wildhoek|427
48|38|Leusener Maan|273
48|39|Varsen|393
48|40|IJsselvliedt|233
48|41|Wezepse Heide|422
48|42|Vuursteenberg|408
48|43|Gemeentebos Hattem|187
48|44|Molecaten|294
48|45|Flip Hul|179
48|46|Klooster Hulsbergen|248
48|47|Hezenberg|216
48|48|Algemeen Veen|106
48|49|Hoenwaard|219
48|50|Oldeneel|313
48|51|Zandhove|435
48|52|Soeslo|369
48|53|Windesheim|428
48|54|Molenpolder|295
48|55|Den Alerdinck|106
48|56|Colckhof|151
49|1|Schuinesloot landschapselementen|362
49|2|De Slagen|366
49|3|Esbosjes Zuidwolde|177
49|4|Nolderveld|305
49|5|Takkenhoogte|382
49|6|Reestdal|341
49|7|De Reest|341
49|8|Reestdal|341
49|9|Ommerschans|315
49|10|Rheezerveen landschapselementen|344
49|11|Hardenberg|207
49|12|Recreatiebos Hardenberg|339
49|13|Het Engelandsche Bosch|175
49|14|Hardenberg-Oost landschapselementen|207
49|15|Rheeze|344
49|16|Vechtdal|394
49|17|Bruchterveld landschapselementen|145
49|18|Ommerbos|314
49|19|Arriëveld|114
49|20|Junner Koeland|236
49|21|Stegeren|377
49|22|Stegeren landschapselementen|377
49|23|Junne|236
49|24|Ommen|314
49|25|Beerze|119
49|26|Eerde|171
49|27|Het Laar|261
49|28|Vilsteren|400
49|29|Klein Giethmen|246
49|30|Giethmen|190
49|31|Lemeler- en Archemerberg|271
49|32|Archem|113
49|33|Ten Have|208
49|34|Park 1813|329
49|35|De Zandstuve|435
49|36|Daarle landschapselementen|152
49|37|Engbertsdijksvenen|175
49|38|De Bruine Haar|145
50|1|Mandergrafveld|282
50|2|Dal van de Mosbeek|152
50|3|Springendal|374
50|4|Breckelenkamp|143
50|5|Schiphorst|358
51|1|Zuid-Kennemerland, Nationaal Park|439
51|2|Bosbeek, Burg. Rijkenspark en Spaarneberg|135
51|3|Landgoed Schapenduinen Bloemendaal|266
51|4|Bloemendaalsebos|131
51|5|Thijsse's Hof|385
51|6|Spaarnwoude|371
51|7|Buitenhuizerbraak|147
51|8|Houtrakbos|228
51|9|Spaarnwouderven en Batterij|371
51|10|Oeverlanden aan de Liede|311
51|11|Wethouder van Gelukpark|422
51|12|Middenduin|291
51|13|Brouwerskolkpark|145
51|14|Kraansvlak|255
51|15|Elswout|174
51|16|Koningshof|251
51|17|Visserspad en Duinpieperpad|401
51|18|Mr. H. Enschedépark|297
51|19|Naaldenveld|297
51|20|Amsterdamse Waterleidingduinen|110
51|21|Leyduin, Vinkenduin en Oud Woestduin|275
51|22|Groenendaal|197
51|23|Eendenkooi Stokman|170
51|24|Meerbos|287
51|25|Haarlemmermeerse Bos|205
51|26|Eikenrode|172
51|27|Linnaeushof|277
51|28|Bennebroekbos|121
51|29|Huis te Vogelenzang|229
51|30|Het Langeveld|267
51|31|De Blink|130
51|32|Noordwijk|308
51|33|Wassergeest|413
51|34|Nieuw Leeuwenhorst|303
51|35|Leeuwenhorst|270
51|36|Coepelduinen|151
51|37|Westeinderplassen|419
52|1|Spaarnwoude|371
52|2|Recreatiegebied Het Twiske|340
52|3|Ratteneiland|338
52|4|Ilperveld|233
52|5|Varkensland|393
52|6|Waterland Oost|414
52|7|Udoorn|232
52|8|De Oeverlanden|311
52|9|Amsterdamse Bos|109
52|10|Jac.P. Thijssepark en De Braak|235
52|11|Amstelveense en Kleine Poel|109
52|12|Oosteinderpoel|317
52|13|Recreatiegebied Over-Amstel|340
52|14|Middelpolder|291
52|15|Wester-Amstel|419
52|16|Recreatiegebied Elsenhove|339
52|17|Recreatiegebied Ouderkerkerplas|340
52|18|Penbos|330
52|19|Gaasp en Diem|184
52|20|Recreatiegebied Gaasperplas|339
52|21|Riethoek|345
52|22|Gaasperzoom|184
52|23|Klarenbeek|245
52|24|Recreatiegebied De Hoge Dijk|339
52|25|Fort Nigtevecht|182
52|26|Umeer|233
52|27|Muiderbos|297
52|28|Zilverstrand en Muiderstrand|437
52|29|Echobos|168
52|30|Naardermeer|297
52|31|Uitermeer|390
52|32|Hinderdam|218
52|33|Spiegelplas|372
52|34|Ankeveense Plassen|110
52|35|Laegieskamp|261
52|36|Natuurgebied Uithoorn|299
52|37|Bovenlanden Mijdrecht|141
52|38|Fort Waver-Amstel|182
52|39|Polder Groot-Mijdrecht|334
52|40|Botshol|140
52|41|De Nes|302
52|42|Horstermeerpolder|226
52|43|Fort Kijkuit|181
52|44|Wijde Blik|425
52|45|Terra Nova|384
52|46|Kortenhoefse Plassen|254
52|47|Het Hol|221
52|48|Fransche Kampheide|183
52|49|Schaep en Burgh|354
52|50|Bantam|117
52|51|Fransche Kamp|183
52|52|Kamphoeve|239
52|53|Boekesteyn|131
52|54|Spanderswoud|371
52|55|Spanderswoud|371
52|56|Hilverbeek|217
52|57|Spiegelrust|372
52|58|Schoonoord|359
52|59|Gooilust|191
52|60|Conversbos|151
53|1|Lepelaarplassen|272
53|2|Wilgenbos en Wilgeneiland|427
53|3|Oostvaardersplassen|318
53|4|Landschappelijke beplanting Flevoland|266
53|5|De Aardzee|103
53|6|Wilgenreservaat|427
53|7|Knarbos|248
53|8|Hoge Vaartbos|220
53|9|Pampushout|328
53|10|Kromslootpark, Beginbos en Vroege Vogelbos|257
53|11|Almeerderhout|106
53|12|Gorzenveld|192
53|13|Winkelse Zand|429
53|14|Gruttoveld|203
53|15|Horsterwold|226
53|16|Hulkesteijnse Bos|230
53|17|Gooimeer|191
53|18|Oud Naarden|323
53|19|Naarder Eng en Gooimeerkust|297
53|20|Limitische Heide|276
53|21|Nieuw Bussumerheide|303
53|22|Vliegheide|402
